name,macro_avg__f1-score,macro_avg__precision,macro_avg__recall,macro_avg__support,micro_avg__f1-score,micro_avg__precision,micro_avg__recall,micro_avg__support,weighted_avg__f1-score,weighted_avg__precision,weighted_avg__recall,weighted_avg__support,accuracy
default/Rasa Demo - Configuration 1/entity_prediction,0.8439612155511906,0.8928145686878677,0.8505867162712345,1451,0.8802499132245749,0.8867132867132868,0.8738800827015851,1451,0.8795120459917696,0.8962881808799879,0.8738800827015851,1451,n/a
default/Rasa Demo - Configuration 1/intent_classification,0.39396343663157196,0.6152770784589695,0.3412664077499422,4950,0.8144018583042975,0.9579234972677596,0.7082828282828283,4950,0.7571805042281962,0.89504509788388,0.7082828282828283,4950,n/a
default/Rasa Demo - Configuration 1/response_selection,0.6128055852643406,0.6404843224661372,0.6527552082927716,1981,n/a,n/a,n/a,n/a,0.77835090522873,0.7812937731413816,0.8278647147905098,1981,0.8278647147905098
default/Rasa Demo - Configuration 1/story_prediction,0.820486111111111,0.822530864197531,0.8363095238095238,189,n/a,n/a,n/a,n/a,0.915299823633157,0.9200470311581422,0.9206349206349206,189,0.9206349206349206
